0.25,0.33,0.7507
0.35,0.54,0.6505
0.45,0.82,0.5498
0.55,1.22,0.4493
0.65,1.85,0.3499
0.75,3.03,0.2486
0.85,5.69,0.1500
0.95,19.22,0.0499
